                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.3626,                 1.1691,                0.83737,                 2.3657,                 1.1742,                0.82949,                0.72806,                0.27572,                0.32631,                0.13936,                 1.7341,                0.94606,                0.83127,                 1.7381,                0.97103,                0.82676,              0.0087328,              0.0087328,              0.0087328
                     35,                 2.3531,                 1.1728,                0.83022,                 2.3744,                 1.1723,                0.82613,                0.72007,                0.26543,                0.30957,                0.13553,                 1.7397,                 0.9278,                0.83042,                 1.7522,                 0.9642,                0.82726,              0.0086932,              0.0086932,              0.0086932
                     36,                 2.3506,                 1.1573,                0.83402,                 2.3709,                 1.1615,                0.82823,                0.74176,                0.27984,                0.32059,                0.13839,                 1.7334,                0.90734,                0.82915,                 1.7508,                0.93134,                 0.8281,              0.0086536,              0.0086536,              0.0086536
                     37,                   2.34,                 1.1648,                0.83009,                 2.3453,                 1.1675,                0.82521,                0.70548,                0.26749,                0.31497,                0.13894,                  1.735,                0.93478,                0.82715,                 1.7615,                0.94275,                0.82652,               0.008614,               0.008614,               0.008614
                     38,                 2.3517,                 1.1714,                0.82929,                 2.3499,                 1.1691,                0.82258,                0.70484,                0.29012,                0.31979,                0.14088,                 1.7244,                0.94834,                 0.8252,                  1.752,                0.96674,                 0.8244,              0.0085744,              0.0085744,              0.0085744
                     39,                 2.2868,                 1.1358,                0.82496,                 2.3038,                 1.1417,                0.82129,                 0.7164,                0.28189,                0.31346,                0.14263,                  1.689,                0.92782,                 0.8231,                 1.7297,                0.95398,                0.82498,              0.0085348,              0.0085348,              0.0085348
                     40,                 2.2968,                 1.1234,                 0.8314,                 2.3147,                 1.1258,                0.82248,                0.70741,                0.27984,                0.32024,                0.14531,                 1.6549,                0.90752,                0.82294,                 1.6935,                0.92112,                0.82337,              0.0084952,              0.0084952,              0.0084952
                     41,                 2.3336,                 1.1422,                0.84065,                 2.3398,                 1.1364,                0.83479,                 0.7363,                0.28807,                0.33493,                0.14851,                 1.6339,                0.90201,                0.82315,                 1.6636,                0.91468,                0.82322,              0.0084556,              0.0084556,              0.0084556
                     42,                 2.2819,                 1.1165,                0.82745,                 2.2847,                 1.1226,                0.82321,                0.72801,                0.29424,                0.32625,                0.14735,                 1.6135,                0.90397,                0.82561,                 1.6396,                0.91812,                0.82313,               0.008416,               0.008416,               0.008416
                     43,                 2.2912,                 1.1366,                0.83215,                 2.3043,                 1.1437,                0.82223,                0.71052,                0.28807,                0.31488,                0.14616,                 1.5794,                0.88298,                0.82519,                 1.6039,                0.89587,                0.82295,              0.0083764,              0.0083764,              0.0083764
