                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 4.5405,                 1.1788,                0.79072,                 4.5556,                 1.1998,                0.78901,                0.64243,                0.31481,                0.32879,                0.12876,                 4.2108,                 1.0248,                0.78492,                 4.2864,                 1.0222,                 0.7827,             0.00096051,             0.00096051,             0.00096051
                     35,                 4.5033,                 1.1743,                0.79004,                 4.5171,                  1.186,                0.78919,                0.62393,                0.31481,                0.32564,                0.13325,                 4.0194,                 1.0194,                0.78742,                  4.088,                0.99615,                0.78503,             0.00095804,             0.00095804,             0.00095804
                     36,                 4.4982,                 1.1533,                0.79506,                 4.4986,                 1.1783,                0.79058,                0.63856,                0.31276,                0.33297,                0.13859,                 3.8947,                 1.0272,                 0.7828,                 3.9592,                 1.0342,                0.78202,              0.0009555,              0.0009555,              0.0009555
                     37,                 4.4841,                 1.1553,                0.79086,                 4.4854,                 1.1723,                0.78772,                0.63499,                0.32305,                0.33523,                0.14398,                 3.7707,                 1.0093,                 0.7812,                 3.8351,                   1.02,                0.78035,             0.00095289,             0.00095289,             0.00095289
                     38,                 4.4641,                 1.1733,                0.78874,                  4.474,                 1.1918,                0.78477,                0.65103,                0.32716,                0.33953,                0.14477,                 3.7593,                0.99113,                0.78081,                 3.8076,                 1.0003,                0.77907,             0.00095021,             0.00095021,             0.00095021
                     39,                 4.4251,                 1.1353,                0.78545,                  4.426,                 1.1526,                0.78263,                0.63913,                0.31705,                0.33807,                0.14343,                 3.8211,                0.99506,                 0.7834,                 3.8777,                0.99488,                0.78045,             0.00094745,             0.00094745,             0.00094745
                     40,                 4.3999,                 1.1106,                0.78624,                 4.4243,                 1.1312,                0.78406,                0.63314,                0.32315,                0.33676,                0.14552,                 3.8022,                0.97865,                 0.7815,                 3.8475,                 0.9847,                0.77887,             0.00094463,             0.00094463,             0.00094463
                     41,                   4.42,                 1.1321,                0.79064,                 4.4211,                 1.1467,                0.78719,                0.63784,                0.31687,                0.33951,                0.14451,                 3.8758,                0.98554,                0.78339,                 3.9477,                0.98514,                0.78072,             0.00094173,             0.00094173,             0.00094173
                     42,                 4.3593,                 1.1333,                0.78831,                 4.3639,                 1.1416,                0.78615,                 0.6455,                0.32305,                0.34632,                0.14713,                 3.8692,                0.98251,                0.78385,                 3.9317,                0.98373,                0.78124,             0.00093877,             0.00093877,             0.00093877
                     43,                 4.3727,                 1.1224,                0.78716,                  4.389,                 1.1371,                0.78444,                0.65724,                0.32099,                0.34841,                0.14287,                 3.8618,                0.98104,                0.78203,                 3.9233,                0.98312,                0.77932,             0.00093574,             0.00093574,             0.00093574
                     44,                 4.3097,                 1.1001,                0.78868,                 4.3177,                 1.1106,                0.78621,                0.66109,                0.31893,                0.34182,                0.14611,                 3.8179,                0.97728,                0.78118,                 3.8832,                0.97966,                0.77884,             0.00093264,             0.00093264,             0.00093264
                     45,                 4.2879,                 1.0938,                0.78187,                 4.2971,                 1.1054,                0.77944,                0.65282,                0.31481,                0.34141,                0.14824,                 3.7638,                0.96062,                0.78045,                 3.8325,                0.95605,                0.77971,             0.00092948,             0.00092948,             0.00092948
                     46,                 4.2908,                 1.0976,                 0.7914,                 4.3003,                  1.102,                0.78299,                0.67146,                0.31961,                0.34718,                0.15138,                 3.7579,                0.95712,                0.77987,                 3.8241,                0.94398,                0.77956,             0.00092624,             0.00092624,             0.00092624
                     47,                 4.3211,                 1.0881,                0.78977,                 4.3363,                 1.0963,                0.78475,                0.66588,                0.32805,                0.34971,                0.15148,                 3.7648,                0.95964,                0.78136,                  3.811,                0.94289,                0.77994,             0.00092294,             0.00092294,             0.00092294
                     48,                   4.24,                 1.1048,                0.79643,                 4.2439,                 1.1034,                0.78277,                0.67451,                0.34156,                0.35882,                0.15398,                 3.7052,                0.94031,                0.78091,                 3.7855,                0.93778,                0.78056,             0.00091958,             0.00091958,             0.00091958
                     49,                 4.2355,                 1.0902,                0.79848,                 4.2263,                 1.0871,                 0.7855,                0.67392,                0.34156,                0.36206,                0.15579,                 3.6927,                0.92879,                0.78089,                 3.7831,                0.92551,                0.78037,             0.00091614,             0.00091614,             0.00091614
                     50,                 4.2703,                 1.0995,                0.79475,                   4.27,                 1.1108,                0.78182,                0.66159,                0.34362,                0.36214,                0.15631,                 3.6849,                0.92521,                0.78036,                 3.7644,                0.92676,                0.77964,             0.00091265,             0.00091265,             0.00091265
                     51,                 4.2047,                 1.0878,                0.79492,                 4.1929,                 1.0838,                0.78675,                0.67703,                0.34568,                0.36735,                0.15795,                 3.6941,                0.92243,                0.78059,                 3.7654,                0.92426,                0.77935,             0.00090909,             0.00090909,             0.00090909
                     52,                 4.2469,                 1.0955,                0.78955,                 4.2362,                 1.1017,                 0.7808,                0.68756,                0.34866,                0.36834,                0.15808,                 3.6654,                 0.9216,                  0.781,                 3.7303,                0.91979,                0.77886,             0.00090546,             0.00090546,             0.00090546
                     53,                 4.1864,                 1.0535,                0.78882,                 4.1918,                 1.0575,                0.78156,                0.69138,                0.34774,                0.36469,                 0.1593,                 3.6494,                0.92459,                0.78137,                 3.6993,                0.91833,                0.77818,             0.00090178,             0.00090178,             0.00090178
                     54,                 4.1548,                  1.071,                0.80268,                 4.1434,                  1.054,                0.78171,                0.69123,                0.35008,                0.36477,                0.16262,                  3.644,                0.92426,                 0.7819,                 3.6849,                0.91872,                0.77762,             0.00089803,             0.00089803,             0.00089803
                     55,                 4.1616,                 1.0548,                0.79385,                  4.183,                 1.0616,                 0.7853,                0.68822,                0.35185,                0.36561,                0.16261,                 3.6396,                0.92901,                0.78239,                 3.6758,                0.92011,                 0.7776,             0.00089421,             0.00089421,             0.00089421
                     56,                 4.0958,                 1.0349,                0.78645,                 4.1077,                 1.0465,                0.78001,                0.68153,                0.35391,                0.36799,                0.16238,                 3.6215,                0.92635,                 0.7818,                 3.6523,                0.91485,                 0.7772,             0.00089034,             0.00089034,             0.00089034
                     57,                  4.095,                 1.0449,                0.78716,                 4.1015,                 1.0499,                 0.7811,                0.67539,                0.35185,                0.36724,                0.16359,                 3.5995,                0.92375,                0.78111,                 3.6281,                0.90855,                0.77715,              0.0008864,              0.0008864,              0.0008864
                     58,                 4.1129,                 1.0487,                0.78979,                 4.1258,                 1.0542,                0.78255,                0.68486,                0.35391,                0.37298,                0.16486,                 3.5768,                0.92157,                0.77993,                 3.6082,                0.90437,                0.77707,             0.00088241,             0.00088241,             0.00088241
                     59,                   4.07,                 1.0213,                0.78911,                 4.0953,                 1.0262,                0.78195,                0.69288,                0.35279,                0.37386,                0.16685,                 3.5605,                 0.9182,                0.77948,                 3.5942,                0.89643,                0.77718,             0.00087835,             0.00087835,             0.00087835
                     60,                 4.0563,                 1.0348,                 0.7884,                 4.0879,                 1.0481,                0.78421,                0.69077,                0.35392,                0.37394,                0.16878,                 3.5524,                0.91425,                0.77937,                 3.5858,                 0.8897,                0.77709,             0.00087424,             0.00087424,             0.00087424
                     61,                 3.9846,                 1.0228,                0.78103,                 4.0357,                 1.0317,                  0.777,                0.68412,                0.35204,                0.37448,                0.16963,                 3.5402,                 0.9088,                0.77916,                 3.5719,                0.88503,                0.77704,             0.00087007,             0.00087007,             0.00087007
